path,family,heading_count,headings,historical_status_signals,reading_status
research/CONJECTURE_REGISTRY.md,other_research_records,4,Conjecture Registry | 状态词汇 | Registry | 单项候选的最低证据要求,50:| C029 | Spectral graph theory | Signed circulant global optimizer | S14 | 2026 | DISPROVED — n=32 MINIMAL; TARGET_A_MANUSCRIPT_READY | signed graph | even n | low-medium | very hi,headings_and_status_scan_not_full_semantic_review
research/README.md,other_research_records,7,数学猜想反例研究项目 | 当前阶段 | 优先研究范围 | 证据等级 | 强制研究规则 | 目录职责 | 核心记录,7:## 当前阶段,headings_and_status_scan_not_full_semantic_review
research/RESEARCH_LOG.md,other_research_records,26,Research Log | 2026-08-14 — 项目初始化（Prompt 0） | 2026-08-14 — 第一轮公开文献挖掘（Prompt 1） | 2026-08-14 — 开放状态第一轮审计（Prompt 2） | 2026-08-14 — 可攻击性评分与最终目标选择（Prompts 3–4） | 2026-08-15 — Target A 精确验证器与首个复现点（Prompt 6，进行中） | 2026-08-15 — Target A 接手复现与 n=20 首轮搜索 | 2026-08-15 — Target A flux atlas、n=22 穷举与无限反例族 | 2026-08-15 — Target A Tasks 30–32：发现冻结与 quotient 完整性审计 | 2026-08-15 — Target A Task 33A：constant-memory bracelet stream | 2026-08-15 — Target A Task 33B：n=24 生产级完整搜索 | 2026-08-15 — Target A Task 34：n=26 生产级完整搜索 | 2026-08-15 — Target A Task 35：n=28 生产级完整搜索 | 2026-08-15 — Target A Task 36：n=30 生产级完整搜索 | 2026-08-15 — Target A Task 36A：最小反例阶数认证 | 2026-08-15 — Target A Task 37：n=32 witness 第二套独立重构 | 2026-08-15 — Target A Task 38：period-8 Floquet reduction 与 determinant 独立审计 | 2026-08-16 — Target A Task 39：period-8 无限反例族完整独立审计 | 2026-08-16 — Target A Task 40A：period-8 sharp spectral constant | 2026-08-16 — Target A Task 40B：period-8 flux phases 完整分类与唯一最优相 | 2026-08-16 — Target A Task 40C：8-barrier、closed-walk moments 与 equal-spacing 机制 | 2026-08-16 — Target A Task 42A：一般周期 closed-walk identities 与 8-barrier 必要障碍 | 2026-08-16 — Target A Task 42B：primitive period 不超过 16 的完整谱前沿 | 2026-08-16 — Target A Task 42C：低周期 exact frontier 的 closed-walk 结构压缩 | 2026-08-16 — Target A Task 41：novelty、priority 与 provenance audit | 2026-08-16 — Target A Lane R：full slow reproduction 与 paper gate,,headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/README.md,historical_analytic_program,11,Analytic-first inventory | Purpose and baseline | Writing rule | Current analytic core | High-value reduction targets | Modules that are computational until replaced | Candidate article routes | Route A — analytic classification | Route B — analytic counterexample mechanism | Route C — finite counterexample note | Immediate next artifacts,,headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/analytic_claim_registry.md,historical_analytic_program,4,Analytic claim registry | Main theorem wording currently authorized | Finite-combinatorial disclosure | Pre-submission gates,,headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/analytic_completion_plan.md,historical_analytic_program,4,Analytic completion plan for the period-eight article | Scope lock | Execution order | Non-negotiable evidence rule,"12:| B | Exact non-antipodal two-defect lemma | recurrence, all intermediate moments through the first positive excess, and the trace-to-edge implication in one human-readable proof |",headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/g6_scalar_problem.md,historical_analytic_program,7,G6 scalarization problem | Evidence boundary | Fixed spectral problem | Desired Weyl formulation | Required analytic lemmas | Rejection criteria | Relation to the article,,headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/general_period_defect_obstruction.md,historical_analytic_program,4,A general periodic defect obstruction | Theorem | Proof | Article role,,headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/general_period_moment_line_audit.md,historical_analytic_program,4,Line audit: general periodic defect obstruction | Verdict | Checks | Article classification,,headings_and_status_scan_not_full_semantic_review
research/analytic_inventory/hamilton_gauge_realization.md,historical_analytic_program,4,"Hamilton-gauge realization on \(C_n(1,2)\) | Lemma | Proof | Scope",,headings_and_status_scan_not_full_semantic_review
